THD,T,Time
16,2,0.0227857
16,2,0.022834
16,2,0.022761
16,2,0.0229676
16,2,0.0226669
16,2,0.0225598
16,2,0.0226639
16,2,0.0226396
16,2,0.022759
16,2,0.0226351
16,2,0.0226761
16,2,0.0224731
16,2,0.0227473
16,2,0.0227979
16,2,0.022651
16,3,0.0634562
16,3,0.0628978
16,3,0.0628077
16,3,0.0635116
16,3,0.0633007
16,3,0.0632839
16,3,0.0629776
16,3,0.063313
16,3,0.0627605
16,3,0.0628211
16,3,0.0634624
16,3,0.0632037
16,3,0.0630565
16,3,0.0631132
16,3,0.0637959
16,3,0.0635916
16,3,0.0637746
16,3,0.0638248
16,3,0.0630953
16,3,0.0631649
16,3,0.0631736
16,3,0.063086
16,3,0.062693
16,3,0.0627903
16,3,0.0632293
16,3,0.0632473
16,3,0.0628742
16,3,0.0631097
16,3,0.063208
16,3,0.0629761
16,3,0.0629205
16,3,0.0628519
16,3,0.0628851
16,3,0.0628246
16,3,0.0631079
16,3,0.0629779
16,3,0.0629133
16,3,0.0628992
16,3,0.0629195
16,3,0.0632475
16,3,0.0631268
16,3,0.0629533
16,3,0.0628291
16,3,0.0633638
16,3,0.0679252
16,3,0.0622955
16,3,0.0616544
16,3,0.0515257
16,3,0.0531576
16,3,0.0531401
16,4,0.214803
16,4,0.207146
16,4,0.207257
16,4,0.207221
16,4,0.206801
16,4,0.209264
16,4,0.210561
16,4,0.211231
16,4,0.20709
16,4,0.202921
16,4,0.203207
16,4,0.204824
16,4,0.204513
16,4,0.205132
16,4,0.205395
16,4,0.205055
16,4,0.204787
16,4,0.204313
16,4,0.205264
16,4,0.2038
16,4,0.203495
16,4,0.203391
16,4,0.203871
16,4,0.204005
16,4,0.204128
16,4,0.203953
16,4,0.203809
16,4,0.203675
16,4,0.20393
16,4,0.203913
16,4,0.204184
16,4,0.204138
16,4,0.204761
16,4,0.204187
16,4,0.204483
16,4,0.203748
16,4,0.204292
16,4,0.204138
16,4,0.203755
16,4,0.204118
16,4,0.204231
16,4,0.203101
16,4,0.204426
16,4,0.204078
16,4,0.203324
16,4,0.20262
16,4,0.202007
16,4,0.203619
16,4,0.203077
16,4,0.203683
16,5,0.732731
16,5,0.732357
16,5,0.73234
16,5,0.732233
16,5,0.732912
16,5,0.732294
16,5,0.740961
16,5,0.740206
16,5,0.740361
16,5,0.740457
16,5,0.735756
16,5,0.738669
16,5,0.738355
16,5,0.74704
16,5,0.738186
16,5,0.736806
16,5,0.737098
16,5,0.73689
16,5,0.734989
16,5,0.735049
16,5,0.736568
16,5,0.735536
16,5,0.73209
16,5,0.738595
16,5,0.741107
16,5,0.74156
16,5,0.737026
16,5,0.733576
16,5,0.733687
16,5,0.73296
16,5,0.732881
16,5,0.73276
16,5,0.732698
16,5,0.732274
16,5,0.732647
16,5,0.732707
16,5,0.734252
16,5,0.737468
16,5,0.737091
16,5,0.73451
16,5,0.734713
16,5,0.735356
16,5,0.73441
16,5,0.736121
16,5,0.742389
16,5,0.734043
16,5,0.733715
16,5,0.735263
16,5,0.736482
16,5,0.741302
16,6,2.90083
16,6,2.87521
16,6,2.84243
16,6,2.81694
16,6,2.84564
16,6,2.84174
16,6,2.84203
16,6,2.80359
16,6,2.73118
16,6,2.91328
16,6,2.90457
16,6,2.59666
16,6,2.84206
16,6,2.90072
16,6,2.8739
16,6,2.85034
16,6,2.84703
16,6,2.8456
16,6,2.84599
16,6,2.84288
16,6,2.84081
16,6,2.84297
16,6,2.86027
16,6,2.89252
16,6,2.72596
16,6,2.56014
16,6,2.32651
16,6,2.627
16,6,2.8182
16,6,2.85967
16,6,2.83353
16,6,2.83532
16,6,2.84702
16,6,2.7628
16,6,2.62856
16,6,2.58151
16,6,2.79979
16,6,2.81231
16,6,2.80186
16,6,2.80519
16,6,2.80472
16,6,2.80116
16,6,2.84942
16,6,2.94993
16,6,2.96105
16,6,2.96994
16,6,2.95954
16,6,2.97292
16,6,2.97325
16,6,2.97137
